imdbID,long imdb title,cast,genres,runtimes,country codes,language codes,year,director,rating,votes,companies,full-size cover url,plot
0111161,The Shawshank Redemption (1994),0000209 0000151 0348409 0006669 0000317 0004743 0001679 0926235 0218810 0104594,drama,142,us,en,1994,0001104,9.3,2754188,0040620,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@.jpg,course several years convicts friendship consolation redemption basic compassion
0468569,The Dark Knight (2008),0000288 0005132 0001173 0000323 0350454 0000198 0000151 1010931 0212939 0614165,action crime drama thriller,152,us gb,en cmn,2008,0634240,9.0,2726999,0002663 0159111 0147954 0038332,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@.jpg,menace Joker havoc chaos people Gotham Batman greatest psychological physical tests ability injustice
1375666,Inception (2010),0000138 0330687 0680983 0362766 0913822 2438307 0614165 0000297 0182839 0000592,action adventure sci-fi thriller,148,us gb,en ja fr,2010,0634240,8.8,2420200,0002663 0159111 0147954,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg,thief corporate secrets use dream-sharing technology inverse task idea mind C.E.O. tragic past project team disaster
0137523,Fight Club (1999),0001570 0000093 0001533 0340260 0037118 0028625 0536574 0094163 0127680 0000307,drama,139,de us,en,1999,0000399,8.8,2193040,0017497 0007127 0038102 0064947 0088185 0043164,https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,insomniac office worker devil-may-care soap maker form underground fight club
0109830,Forrest Gump (1994),0000158 0931508 0000398 0402011 0381041 0446404 0672225 0709615 0027402 0602071,drama romance,142,us,en,1994,0000709,8.8,2142440,0023400 0024369 0004317,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,history United States '70s unfolds perspective Alabama man IQ desire childhood sweetheart
0110912,Pulp Fiction (1994),0000619 0001625 0522503 0000237 0000168 0482851 0001844 0824882 0000246 0000609,crime drama,154,us,en es fr,1994,0000233,8.9,2115287,0022594 0019267 0010434,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,lives mob hitmen boxer gangster wife pair diner bandits tales violence redemption
0133093,The Matrix (1999),0000206 0000401 0005251 0915989 0287825 0001592 0159059 0032810 0233391 0565883,action sci-fi,136,us au,en,1999,0905154 0905152,8.7,1963132,0002663 0108864 0060075 0019968 0070636,https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,beautiful stranger computer hacker Neo forbidding underworld shocking truth life elaborate deception evil cyber-intelligence
0120737,The Lord of the Rings: The Fellowship of the Ring (2001),0397102 0032370 0000276 1019674 0000293 0101710 0785227 0190744 0001557 0089217,action adventure drama fantasy,178,nz us,en sjn,2001,0001392,8.8,1920405,0046718 0046203 0061706,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,meek Hobbit Shire companions journey powerful Ring Middle-earth Dark Lord Sauron
0816692,Interstellar (2014),0000995 0000190 3237775 0001475 3154303 0654648 2180792 0565133 0410347 0004266,adventure drama sci-fi,169,us gb ca,en,2014,0634240,8.7,1920273,0023400 0002663 0159111 0147954 0071668 0627877 0422290,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Earth uninhabitable future farmer ex-NASA pilot Joseph Cooper spacecraft team researchers new planet humans
0068646,The Godfather (1972),0000008 0000199 0001001 0144710 0000380 0001330 0549134 0002017 0504803 0000473,crime drama,175,us,en it la,1972,0000338,9.2,1916192,0023400 0921482 0255097,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Vito Corleone head mafia family hand empire youngest son Michael decision lives loved ones grave danger
